deg hall1 accelX accelY
0 -26214 9.53 0.00
0 -15729 9.55 0.00
0 -15729 9.52 0.00
0 31457 9.54 0.00
0 20972 9.55 0.00
0 31457 9.53 0.00
0 -15729 9.54 0.00
0 2621 9.52 0.00
0 2621 9.53 0.00
0 2621 9.53 0.00
0 2621 9.52 0.00
0 2621 9.53 0.00
0 -15729 9.54 0.00
0 -26214 9.52 0.00
0 -15729 9.53 0.00
0 20972 9.53 0.00
0 2621 9.53 0.00
0 31457 9.53 0.00
0 2621 9.55 0.00
0 20972 9.53 0.00
0 -15729 9.52 0.00
0 2621 9.52 0.00
0 -26214 9.52 0.00
0 2621 9.53 0.00
0 -15729 9.53 0.00
0 2621 9.54 0.00
0 20972 9.54 0.00
0 2621 9.51 0.00
0 -26214 9.52 0.00
0 2621 9.51 0.00
0 2621 9.51 0.00
0 20972 9.54 0.00
0 -15729 9.54 0.00
0 20972 9.55 0.00
0 -15729 9.53 0.00
0 2621 9.53 0.00
0 -15729 9.54 0.00
0 -15729 9.53 0.00
0 -15729 9.52 0.00
0 -15729 9.51 0.00
0 -15729 9.54 0.00
0 -7864 9.54 0.00
0 13107 9.51 0.00
0 20972 9.53 0.00
0 -26214 9.52 0.00
0 2621 9.54 0.00
0 20972 9.53 0.00
0 31457 9.53 0.00
0 -26214 9.52 0.00
0 20972 9.53 0.00
0 2621 9.52 0.00
0 20972 9.50 0.00
0 20972 9.53 0.00
0 -15729 9.51 0.00
0 20972 9.53 0.00
0 -15729 9.54 0.00
0 20972 9.52 0.00
0 20972 9.53 0.00
0 2621 9.52 0.00
0 20972 9.50 0.00
0 2621 9.51 0.00
0 20972 9.53 0.00
0 20972 9.53 0.00
0 20972 9.54 0.00
0 -15729 9.51 0.00
0 2621 9.54 0.00
0 2621 9.54 0.00
0 20972 9.53 0.00
0 -15729 9.52 0.00
0 20972 9.53 0.00
0 -26214 9.54 0.00
0 2621 9.51 0.00
0 31457 9.52 0.00
0 -15729 9.51 0.00
0 2621 9.51 0.00
0 20972 9.53 0.00
0 -15729 9.50 0.00
0 -26214 9.56 0.00
0 2621 9.53 0.00
0 20972 9.51 0.00
0 20972 9.53 0.00
0 20972 9.54 0.00
0 -15729 9.52 0.00
0 2621 9.54 0.00
0 2621 9.53 0.00
0 2621 9.54 0.00
0 -15729 9.55 0.00
0 20972 9.53 0.00
0 -15729 9.54 0.00
0 -26214 9.54 0.00
0 2621 9.55 0.00
0 20972 9.53 0.00
0 -15729 9.54 0.00
0 20972 9.52 0.00
0 20972 9.52 0.00
0 2621 9.52 0.00
0 2621 9.52 0.00
0 -15729 9.53 0.00
0 -15729 9.54 0.00
0 2621 9.55 0.00
0 31457 9.54 0.00
0 20972 9.55 0.00
0 2621 9.53 0.00
0 2621 9.55 0.00
0 2621 9.52 0.00
0 -15729 9.54 0.00
0 -15729 9.53 0.00
0 20972 9.56 0.00
0 20972 9.53 0.00
0 -15729 9.51 0.00
0 -15729 9.54 0.00
0 -15729 9.54 0.00
0 20972 9.52 0.00
0 2621 9.53 0.00
0 2621 9.51 0.00
0 2621 9.52 0.00
0 2621 9.52 0.00
0 2621 9.51 0.00
0 -26214 9.52 0.00
0 -15729 9.55 0.00
0 -15729 9.52 0.00
0 2621 9.51 0.00
0 -15729 9.53 0.00
0 -15729 9.53 0.00
0 -26214 9.52 0.00
0 2621 9.52 0.00
0 20972 9.53 0.00
0 -15729 9.53 0.00
0 2621 9.52 0.00
0 2621 9.52 0.00
0 2621 9.53 0.00
0 -15729 9.53 0.00
0 20972 9.53 0.00
0 20972 9.50 0.00
0 20972 9.52 0.00
0 20972 9.53 0.00
0 20972 9.51 0.00
0 2621 9.55 0.00
0 31457 9.52 0.00
0 20972 9.53 0.00
0 2621 9.53 0.00
0 2621 9.52 0.00
0 2621 9.55 0.00
0 -15729 9.53 0.00
0 2621 9.53 0.00
0 20972 9.52 0.00
0 -15729 9.51 0.00
0 -15729 9.51 0.00
0 20972 9.52 0.00
0 -15729 9.52 0.00
0 -15729 9.53 0.00
0 -7864 9.54 0.00
0 2621 9.51 0.00
0 2621 9.53 0.00
0 2621 9.54 0.00
0 2621 9.52 0.00
0 2621 9.55 0.00
0 -15729 9.53 0.00
0 20972 9.54 0.00
0 2621 9.52 0.00
0 2621 9.52 0.00
0 20972 9.53 0.00
0 20972 9.53 0.00
0 2621 9.51 0.00
0 2621 9.52 0.00
0 20972 9.54 0.00
0 2621 9.53 0.00
0 -26214 9.55 0.00
0 20972 9.53 0.00
0 -26214 9.53 0.00
0 20972 9.53 0.00
0 -26214 9.53 0.00
0 -15729 9.53 0.00
0 2621 9.53 0.00
0 2621 9.52 0.00
0 2621 9.55 0.00
0 -15729 9.52 0.00
0 2621 9.53 0.00
0 -7864 9.52 0.00
0 20972 9.54 0.00
0 31457 9.54 0.00
0 -15729 9.53 0.00
0 20972 9.52 0.00
0 20972 9.50 0.00
0 2621 9.55 0.00
0 -26214 9.51 0.00
0 -15729 9.56 0.00
0 20972 9.51 0.00
0 -15729 9.53 0.00
0 -26214 9.51 0.00
0 20972 9.53 0.00
0 -26214 9.54 0.00
0 20972 9.51 0.00
0 20972 9.53 0.00
0 -15729 9.53 0.00
0 2621 9.52 0.00
0 -15729 9.53 0.00
0 -26214 9.53 0.00
0 20972 9.54 0.00
0 31457 9.52 0.00
0 2621 9.53 0.00
0 20972 9.52 0.00
0 2621 9.52 0.00
0 2621 9.54 0.00
0 -15729 9.54 0.00
0 2621 9.53 0.00
0 -15729 9.53 0.00
0 -7864 9.53 0.00
0 -15729 9.52 0.00
0 20972 9.52 0.00
0 20972 9.56 0.00
0 -15729 9.52 0.00
0 2621 9.51 0.00
0 -26214 9.53 0.00
0 20972 9.51 0.00
0 -26214 9.53 0.00
0 20972 9.54 0.00
0 2621 9.52 0.00
0 2621 9.51 0.00
0 20972 9.52 0.00
0 -15729 9.54 0.00
0 -26214 9.52 0.00
0 20972 9.52 0.00
0 -15729 9.53 0.00
0 20972 9.53 0.00
0 2621 9.53 0.00
0 -15729 9.53 0.00
0 2621 9.53 0.00
0 2621 9.54 0.00
0 -26214 9.51 0.00
